date,home_team,away_team,odds_home,odds_draw,odds_away,source
2026-06-12,Canada,Bosnia and Herzegovina,1.83,3.40,4.60,fanduel_news
2026-06-12,United States,Paraguay,2.10,3.25,3.85,draftkings
2026-06-13,Qatar,Switzerland,13.00,6.25,1.222,oddschecker
2026-06-13,Brazil,Morocco,1.625,3.80,5.25,oddschecker
2026-06-13,Haiti,Scotland,5.50,4.10,1.571,oddschecker
2026-06-14,Netherlands,Japan,2.05,3.70,3.80,news_fractional
2026-06-14,Ivory Coast,Ecuador,3.70,2.90,2.50,news_fractional
2026-06-14,Sweden,Tunisia,1.95,3.50,4.50,news_fractional
